feature_id,region,district,township,ex_from,ex_to,kv_type,cable_type,vertex_count,actual_length_km,straight_line_km,detour_extra_km,sinuosity_index,detour_pct,classification,significant_detour
All_states_region_MVLine_tsp_level.1321,Mandalay,Kyaukse,,Shwesaryan,Belin,,,4,24.777746,24.4996,0.278147,1.011353,1.1353,near_straight,False
All_states_region_MVLine_tsp_level.1322,Mandalay,Kyaukse,,Ingon,Inyaung,,,2,3.580349,3.580349,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1323,Mandalay,Kyaukse,,Ingon,Myittha,,,2,10.339993,10.339993,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1324,Mandalay,Kyaukse,,Myittha,Kume,,,5,11.578974,9.661512,1.917462,1.198464,19.8464,minor_detour,False
All_states_region_MVLine_tsp_level.1325,Mandalay,Kyaukse,Kyaukse,Ingon,Chaungzon,,,2,17.994938,17.994938,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1326,Mandalay,Kyaukse,,Ingon,Factory,,,2,7.586869,7.586869,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1327,Mandalay,Kyaukse,,Ingon,Hmaingmaw,,,6,28.916576,27.451081,1.465495,1.053386,5.3386,minor_detour,False
All_states_region_MVLine_tsp_level.1328,Mandalay,Kyaukse,,Belin,Kyaukse,,,4,6.997454,6.335491,0.661963,1.104485,10.4485,minor_detour,False
All_states_region_MVLine_tsp_level.1329,Mandalay,Kyaukse,,Kyaukse,Hngetkadaung,,,2,3.814104,3.814104,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1330,Mandalay,Kyaukse,,Ingon,Kyaukse,,,4,10.606484,10.001224,0.60526,1.060519,6.0519,minor_detour,False
All_states_region_MVLine_tsp_level.1331,Mandalay,Kyaukse,,Ingon,Farm Maganic,,,4,1.368678,1.36093,0.007748,1.005693,0.5693,near_straight,False
All_states_region_MVLine_tsp_level.1332,Mandalay,Kyaukse,,Belin,,,,9,46.963412,40.543655,6.419758,1.158342,15.8342,minor_detour,False
All_states_region_MVLine_tsp_level.1333,Mandalay,Kyaukse,,Belin,Sin Min 3,,,3,18.122761,16.020252,2.102509,1.131241,13.1241,minor_detour,False
All_states_region_MVLine_tsp_level.1334,Mandalay,Kyaukse,,Ingon,Maganic,,,5,16.340452,12.389835,3.950617,1.31886,31.886,moderate_detour,True
All_states_region_MVLine_tsp_level.1335,Mandalay,Kyaukse,,Ingon,Sin Min,,,4,16.598315,13.401833,3.196482,1.238511,23.8511,moderate_detour,True
All_states_region_MVLine_tsp_level.1336,Mandalay,Kyaukse,,Belin,,,,4,17.549489,14.079029,3.47046,1.246499,24.6499,moderate_detour,True
All_states_region_MVLine_tsp_level.1337,Mandalay,Kyaukse,,Ingon,Taungdaw,,,4,15.801813,12.453766,3.348047,1.268838,26.8838,moderate_detour,True
All_states_region_MVLine_tsp_level.1338,Mandalay,Kyaukse,,Taungdawkon,AAA,,,3,3.208532,3.197592,0.010941,1.003422,0.3422,near_straight,False
All_states_region_MVLine_tsp_level.1339,Mandalay,Kyaukse,,Taungdawkon,Myanmar Elephant,,,3,3.901237,3.580797,0.32044,1.089489,8.9489,minor_detour,False
All_states_region_MVLine_tsp_level.1340,Mandalay,Kyaukse,,Taungdawkon,Tiger Head,,,3,3.379027,3.239043,0.139984,1.043218,4.3218,near_straight,False
All_states_region_MVLine_tsp_level.1341,Mandalay,Kyaukse,,Belin,Myanmar-China,,,4,3.460471,2.56243,0.898041,1.350465,35.0465,moderate_detour,True
All_states_region_MVLine_tsp_level.1342,Mandalay,Kyaukse,,Belin,Paleik,,,11,24.141371,18.873781,5.26759,1.279096,27.9096,moderate_detour,True
All_states_region_MVLine_tsp_level.1343,Mandalay,Kyaukse,,Ye Ywa,Belin,,,4,49.584145,43.320096,6.264049,1.144599,14.4599,minor_detour,False
All_states_region_MVLine_tsp_level.1344,Mandalay,Kyaukse,,Paleik,Tada-U,,,4,8.347925,7.885687,0.462239,1.058617,5.8617,minor_detour,False
All_states_region_MVLine_tsp_level.1345,Mandalay,Kyaukse,,Belin,Sinkgaing,,,3,8.908297,7.344425,1.563872,1.212933,21.2933,moderate_detour,True
All_states_region_MVLine_tsp_level.1346,Mandalay,Kyaukse,,Tagontine line,Tada-u,,,4,11.967713,9.941565,2.026148,1.203806,20.3806,moderate_detour,True
All_states_region_MVLine_tsp_level.1347,Mandalay,Kyaukse,,Paleik,,,,7,14.445177,10.358968,4.086209,1.394461,39.4461,moderate_detour,True
All_states_region_MVLine_tsp_level.1348,Mandalay,Kyaukse,,Paleik,,,,3,3.079071,2.925865,0.153207,1.052363,5.2363,minor_detour,False
All_states_region_MVLine_tsp_level.1349,Mandalay,Kyaukse,,Tagontine,Airport Domain,,,6,18.023573,15.787796,2.235777,1.141614,14.1614,minor_detour,False
All_states_region_MVLine_tsp_level.1350,Mandalay,Kyaukse,,Paleik,,,,2,0.974991,0.974991,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1351,Mandalay,Kyaukse,,Tagontine,Paleik,,,4,4.257129,3.904583,0.352546,1.09029,9.029,minor_detour,False
All_states_region_MVLine_tsp_level.1352,Mandalay,Kyaukse,,Belin,Ingon,,,4,19.702825,15.804341,3.898484,1.246672,24.6672,moderate_detour,True
All_states_region_MVLine_tsp_level.1353,Mandalay,Kyaukse,,Belin,Tha Pyay Wa,,,7,46.988329,38.113098,8.875231,1.232866,23.2866,moderate_detour,True
All_states_region_MVLine_tsp_level.1354,Mandalay,Kyaukse,,Ye Ywa,Meikhtilar Distinct,,,7,80.119407,69.912605,10.206803,1.145994,14.5994,minor_detour,False
All_states_region_MVLine_tsp_level.1355,Mandalay,Kyaukse,,Belin,Aungpinlae,,,5,16.030729,13.702999,2.32773,1.16987,16.987,minor_detour,False
All_states_region_MVLine_tsp_level.1356,Mandalay,Kyaukse,,Belin,Tagontine,,,5,23.506442,16.264671,7.241771,1.445245,44.5245,moderate_detour,True
All_states_region_MVLine_tsp_level.1357,Mandalay,Kyaukse,,Kyaukse,Nyaungwon,,,5,6.374896,5.524553,0.850343,1.153921,15.3921,minor_detour,False
All_states_region_MVLine_tsp_level.1358,Mandalay,Kyaukse,,Kyaukse,Thinpoat,,,2,1.8501,1.8501,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1359,Mandalay,Kyaukse,,Myittha,Ywashe,,,2,7.6213,7.6213,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1360,Mandalay,Kyaukse,,Inyaung,Minzu,,,2,1.719511,1.719511,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1361,Mandalay,Kyaukse,,Kyaukse,Pwabetsan,,,10,23.383292,19.286232,4.09706,1.212434,21.2434,moderate_detour,True
All_states_region_MVLine_tsp_level.1362,Mandalay,Kyaukse,,Kyaukse line,Paunglaung,,,2,0.71142,0.71142,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1363,Mandalay,Kyaukse,,Kyaukse,Kin,,,4,7.688754,7.527875,0.160878,1.021371,2.1371,near_straight,False
All_states_region_MVLine_tsp_level.1364,Mandalay,Kyaukse,Kyaukse,Kyaukse-Kin line,Kyaukgu Tawya,,,2,1.897573,1.897573,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1401,Mon,Mawlamyine,,Ye,Zibyuthaung,,,3,10.12194,9.06945,1.05249,1.116048,11.6048,minor_detour,False
All_states_region_MVLine_tsp_level.1365,Mandalay,Kyaukse,,Belin,Tha Byay Wa,,,6,44.525036,36.146216,8.378819,1.231803,23.1803,moderate_detour,True
All_states_region_MVLine_tsp_level.1366,Mandalay,Kyaukse,,Kume,,,,3,5.98736,5.516093,0.471267,1.085435,8.5435,minor_detour,False
All_states_region_MVLine_tsp_level.1367,Mandalay,Kyaukse,,Kume,Kyidaing,,,8,25.443439,23.109971,2.333469,1.100972,10.0972,minor_detour,False
All_states_region_MVLine_tsp_level.1368,Mandalay,Kyaukse,Sintgaing,Sintgaing,Hpaungzin,,,3,4.055893,3.953574,0.102319,1.02588,2.588,near_straight,False
All_states_region_MVLine_tsp_level.1369,Mandalay,Kyaukse,,Sintgaing,Paukywa,,,6,10.216369,5.782662,4.433707,1.766724,76.6724,severe_detour,True
All_states_region_MVLine_tsp_level.1370,Mandalay,Kyaukse,,Kyaukse,Sintgaing,,,6,5.565405,3.832472,1.732933,1.452171,45.2171,moderate_detour,True
All_states_region_MVLine_tsp_level.1371,Mandalay,Kyaukse,,Paleik,Ebya,,,9,13.696593,5.698901,7.997692,2.403375,140.3375,severe_detour,True
All_states_region_MVLine_tsp_level.1372,Mandalay,Kyaukse,,Paleik-Ebya line,Thabyeyo,,,2,1.098951,1.098951,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1373,Mandalay,Kyaukse,,Paleik-Bbya line,Seywa,,,2,0.93886,0.93886,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1374,Mandalay,Kyaukse,,Paleik-Bbya line,Sizon,,,2,0.306106,0.306106,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1375,Mandalay,Kyaukse,,Paleik,Tabetswe,,,2,4.809869,4.809869,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1376,Mandalay,Kyaukse,,Kintar,Ingon,,,9,49.73448,44.430324,5.304156,1.119381,11.9381,minor_detour,False
All_states_region_MVLine_tsp_level.1377,Mandalay,Kyaukse,,Tada-u,Pyugan,,,4,14.381642,9.288442,5.0932,1.548337,54.8337,severe_detour,True
All_states_region_MVLine_tsp_level.1378,Mandalay,Kyaukse,,Tada-U,Letpanzin,,,3,12.480719,12.475898,0.00482,1.000386,0.0386,near_straight,False
All_states_region_MVLine_tsp_level.1379,Mandalay,Kyaukse,,Tada-U,Mogyodwin,,,5,26.523859,23.217047,3.306812,1.14243,14.243,minor_detour,False
All_states_region_MVLine_tsp_level.1380,Mandalay,Kyaukse,,Tada-U,Thindein,,,2,9.005481,9.005481,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1381,Mandalay,Kyaukse,Kyaukse,Kyaukse,Singaing,,,2,2.775681,2.775681,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1382,Mandalay,Kyauakse,Kyaukse,Kyaukse,Tonlon,,,5,8.873555,5.89689,2.976666,1.504786,50.4786,severe_detour,True
All_states_region_MVLine_tsp_level.1383,Mandalay,Kyaukse,Kyaukse,Minzu,Minzu Hospital,,,2,0.286873,0.286873,0.0,1.0,0.0,near_straight,False
